<Traits>	group	L	PA	SA	AD	RV	Ti	Fo	Cr	L_PR	PA_PR	SA_PR	AD_PR	RV_PR	Ti_PR	Fo_PR	Cr_PR
GEMS56	temperate	566.74	28.3	88.91	0.5	1.11	738.67	1739	213.67	226.25	10.43	32.77	0.46	0.33	248.67	494.5	108
GEMS10	temperate	356.52	14.82	46.55	0.41	0.48	884.67	1519	148.96	207.47	7.63	23.97	0.37	0.22	451.33	841	107.55
ZH68	temperate	510.45	23.8	74.77	0.46	0.87	1007	2362	312	117.75	4.13	12.98	0.35	0.11	284.5	371.67	107.5
GEMS14	temperate	566.36	29.51	92.71	0.51	1.21	935	1385.5	134	265.62	11.77	36.98	0.43	0.42	339.33	751	104.33
CIMBL5	tropical/subtropical	323.13	16.88	53.02	0.52	0.69	291.67	709.33	117.33	242.34	11.41	35.85	0.47	0.42	202.5	542.33	104.33
CML433	tropical/subtropical	404.49	19.61	46.08	0.49	0.76	1020.5	1424	212.05	198.2	8.87	27.87	0.45	0.32	369.33	537	103.54
CML360	tropical/subtropical	407.21	17.08	53.65	0.42	0.56	669.67	1585.33	212.15	198.56	8.43	27.1	0.41	0.28	314.67	612.67	103.5
BY804	temperate	461.43	27.75	87.19	0.6	1.32	496	1261.33	130	307.49	13.87	43.57	0.57	0.73	290.33	627.5	102
CIMBL29	tropical/subtropical	475.94	25.99	81.65	0.55	1.12	517	1169	35.82	193.6	9.02	28.35	0.47	0.33	211	415	101.31
DAN3130	temperate	595.76	44.14	138.66	0.75	2.61	474	1346.67	123.67	373.56	25.12	78.93	0.68	1.33	211	863	101
GEMS48	temperate	334.66	16.67	52.39	0.5	0.73	581.33	1148.67	175.67	190.9	9.25	29.05	0.48	0.35	319.33	715	100.07
GEMS6	temperate	483.13	22.39	70.33	0.49	0.86	903.5	1672	163.5	269.43	13.4	42.1	0.47	0.46	545.5	966.67	98.67
GEMS36	temperate	437.96	24.8	77.92	0.57	1.1	350	923.67	131.67	270.05	16.59	52.12	0.54	0.61	172.33	502.33	94.33
CML290	tropical/subtropical	390.04	17.65	55.44	0.45	0.63	909	1733.67	59.89	178.5	7.64	23.99	0.43	0.26	377.67	801	93.07
YE478	temperate	655.12	36.67	115.19	0.56	1.61	772.5	2206.5	225.5	257.68	13.48	42.36	0.52	0.55	304	700	91.5
CML422	tropical/subtropical	463.84	24.42	76.71	0.54	1.01	879.5	1747.67	75	170.82	8.57	21.73	0.48	0.27	259.33	459.33	89.7
RY729	temperate	515.02	25.13	78.96	0.49	0.97	841	2056.5	270.08	170.21	8.55	26.86	0.51	0.34	276	1032.5	89.38
LY042	temperate	394.65	19.19	60.27	0.47	0.74	412.33	1022.67	111.5	201.29	9.41	29.55	0.46	0.27	209	642.33	88.67
DAN340	temperate	332	15.59	48.97	0.47	0.58	414	883.5	113	204.67	8.95	28.11	0.44	0.31	187	541.5	88.5
ZAC546	temperate	350.76	15.08	47.37	0.43	0.51	550.67	1339	182.92	169.84	6.59	20.7	0.39	0.2	254	593.33	88.21
DAN360	temperate	356.8	18.65	58.6	0.48	0.71	353.33	647	152	228.24	10.34	32.47	0.43	0.37	189.67	426.67	87.33
CIMBL70	tropical/subtropical	209.9	9.94	31.23	0.47	0.37	254.67	470.33	420.09	165.55	8.25	22.7	0.44	0.25	211.33	390.33	86.9
SY1128	temperate	355.95	16.61	52.18	0.47	0.61	436	913.33	140.33	204.44	8.69	27.3	0.43	0.29	216	426	86.67
GY462	temperate	309.34	13.45	42.25	0.43	0.46	760.5	998.5	161.39	164.98	7.27	22.85	0.44	0.25	403.5	563	86.12
CIMBL115	tropical/subtropical	327.36	15.5	48.7	0.47	0.58	610	1386.67	97.65	164.76	7.37	23.17	0.45	0.21	262.67	673	86.07
CML496	tropical/subtropical	285.21	12.7	39.91	0.44	0.45	587	863	117	163.4	6.95	21.82	0.43	0.23	281	406.5	85.17
B113	temperate	418.97	19.43	61.05	0.53	0.82	649	1336	136.67	200.52	9.96	31.3	0.48	0.4	318.33	728.67	85
CIMBL18	tropical/subtropical	345.52	14.21	44.64	0.41	0.46	547	889	109.92	163.1	5.7	17.9	0.35	0.16	281	375	84.4
JI842	temperate	630.88	31.03	97.48	0.49	1.2	751	1802.33	178.5	229.36	9.99	31.38	0.44	0.34	281.33	430	84
DONG46	temperate	304.45	14.52	45.61	0.48	0.55	631.33	804.67	159.48	160.9	7.04	22.13	0.45	0.25	320.33	428.67	83.97
GY1032	temperate	425.1	24.1	75.71	0.54	0.98	731	1598.5	131	234.98	12.7	39.9	0.54	0.54	353	867	83
CIMBL105	tropical/subtropical	440.19	18.42	57.85	0.43	0.62	916	1782.5	536.54	158	6.55	20.57	0.41	0.21	367.5	686	82.27
CIMBL119	tropical/subtropical	658.95	30.5	95.83	0.54	1.28	781.5	1828.5	182.33	226.39	10.15	31.89	0.44	0.36	283.67	354	81.5
CIMBL10	tropical/subtropical	508.94	21.37	67.14	0.42	0.71	1354	2213	185.67	156.57	6.24	19.6	0.4	0.2	418	670	81.4
CIMBL69	tropical/subtropical	385.63	20.05	62.99	0.5	0.97	807	1160	224	250.67	10.88	34.18	0.52	0.44	278.67	759.33	81.33
SHEN5003	temperate	372.57	13.9	43.66	0.38	0.41	1101	1826.5	265.15	150.94	6.18	19.4	0.42	0.2	401	902	78.56
JH96C	temperate	415.78	19.9	62.53	0.48	0.75	668	1342.5	217.84	149.14	6.74	21.18	0.45	0.24	211.5	379	77.94
GEMS18	temperate	440.36	22.08	69.36	0.49	0.83	664.67	1140	131	210.25	8.7	27.33	0.41	0.28	291	427	76.33
GEMS25	temperate	183.48	8.58	26.97	0.47	0.32	362	765	90.77	146.31	6.27	19.7	0.43	0.21	311	679	76.29
GEMS35	temperate	383.9	19.09	59.96	0.5	0.68	648.67	1451	149.67	172.31	6.49	20.39	0.45	0.28	245.33	475.33	76
ZHENG28	temperate	524.26	21.91	68.84	0.42	0.72	1050	2484.33	160.38	143.57	8.35	26.22	0.42	0.28	457.33	919.33	75.96
CML69	tropical/subtropical	666.8	35.53	111.62	0.52	1.34	795	1606	216.67	229.89	10.79	33.91	0.47	0.4	254.33	457.33	73.67
CIMBL152	tropical/subtropical	342.51	18.32	57.56	0.53	0.77	357.67	646.67	103.67	173.06	8.41	26.43	0.49	0.32	213	406.33	73.33
CIMBL12	tropical/subtropical	326.59	15.96	50.14	0.49	0.61	1228.5	1190.33	429.06	139.11	6.24	19.59	0.45	0.22	357	529.67	72.67
GEMS65	temperate	494.77	29.43	92.46	0.6	1.38	553.67	1283.67	116.67	257.23	14.02	44.04	0.53	0.6	278	733.33	72.67
ZHENG653	temperate	147.35	6.21	19.5	0.42	0.21	176	313	75	145.5	6.11	19.2	0.42	0.2	169	321	72
BY4960	temperate	565.36	28.63	89.95	0.51	1.14	1040.5	2234	265	179.38	8.53	26.8	0.49	0.32	246	491	71.67
975-12	temperate	460.03	26.94	84.64	0.57	1.21	690.5	1215	117	217.72	11.41	35.84	0.52	0.48	241.33	534	71.67
BY813	temperate	300.42	18.12	56.94	0.6	0.86	576	1414	193.36	135.47	7.75	24.34	0.57	0.35	246	809	71.61
K22	temperate	207.11	8.73	27.41	0.44	0.27	416.33	541	107.92	137.44	5.4	16.96	0.34	0.18	256.67	381.33	71.42
JI853	temperate	361.39	14.48	45.5	0.46	0.52	459.67	801	109	165.02	6.75	21.21	0.39	0.2	184.5	341	70.67
CML163	tropical/subtropical	225.6	10.44	32.79	0.46	0.38	586.33	677.67	161.33	135.52	5.81	18.25	0.43	0.2	281	390.33	70.66
B11	tropical/subtropical	346	16.69	52.42	0.48	0.68	614.67	1772	113.83	135.09	5.67	17.81	0.43	0.19	248.67	646.67	70.38
TIAN77	temperate	573.84	29.93	94.04	0.52	1.23	1061	2055.67	194.67	193.11	8.58	26.94	0.46	0.3	324	580.33	69.67
IRF314	temperate	616.29	32.81	103.07	0.53	1.37	865	1974	227	214.42	12.75	40.07	0.59	0.6	259	867	69
GEMS64	temperate	538.91	30.16	94.76	0.56	1.33	741	1939.33	188	181.97	10.65	33.45	0.48	0.4	255.67	628.5	69
CML116	tropical/subtropical	485.25	31.48	98.91	0.53	1.33	788.67	1373	145	194.34	10.09	31.69	0.54	0.46	240.33	419	68
GEMS54	temperate	450.28	24	75.39	0.53	1.01	833	1246	118.67	207.18	10.05	31.59	0.49	0.39	307.5	553.33	68
GEMS4	temperate	508.84	29.94	94.07	0.59	1.39	898	1741.5	116	220.29	11.48	36.07	0.52	0.47	313.5	672	68
R15X1141	temperate	481.54	24.1	75.7	0.55	1.05	715.33	1362.5	106.5	221.24	11.2	35.2	0.51	0.45	331.33	523	67.67
CIMBL120	tropical/subtropical	245.8	12.08	37.95	0.51	0.57	432.33	476.5	75	223.7	10.54	33.1	0.47	0.39	315.33	514.33	67
CIMBL83	tropical/subtropical	362.48	22.41	70.4	0.57	0.94	558.67	1119	97.33	185.37	9.97	31.34	0.53	0.42	231.5	464	66.5
CIMBL123	tropical/subtropical	424.44	24.78	77.86	0.59	1.14	527	1311.33	144	174.7	9.81	30.81	0.56	0.43	178	489.33	66
05WN230	temperate	618.14	33.76	106.05	0.56	1.46	1150	2037	199.33	189.77	9.19	28.89	0.5	0.35	291.67	580.33	65.67
B73	temperate	457.5	26.46	83.13	0.58	1.2	536.33	1014.5	120	184.9	10.24	32.16	0.58	0.51	140.67	416.67	64.67
GEMS20	temperate	304.38	12.22	38.4	0.48	0.56	709	932	158.3	122.86	5.51	17.32	0.45	0.19	256.5	372.67	64.19
GEMS51	temperate	357.9	20.43	64.2	0.56	0.92	350.5	744	80.5	211.54	10.22	32.09	0.48	0.39	198.5	428	63.5
CIMBL19	tropical/subtropical	343.92	15.08	47.36	0.43	0.52	822.5	1368.5	195.94	120.49	4.95	15.56	0.41	0.16	267	333	62.72
CIMBL94	tropical/subtropical	175.78	9.57	30.05	0.54	0.41	386.5	559.5	41.08	119.06	6.01	18.87	0.51	0.24	260	426.5	62.53
BY4839	temperate	240.98	10.28	32.3	0.54	0.45	491	946.33	125.63	118.95	5.94	18.65	0.5	0.23	226.67	407.33	62.44
CML431	tropical/subtropical	249.57	12.14	38.15	0.48	0.47	321	555.67	117.47	117.41	5.41	16.99	0.46	0.2	146.33	245	61.41
CML432	tropical/subtropical	142.46	7.55	23.73	0.53	0.32	196.67	565	52.06	116.89	5.92	18.58	0.51	0.28	156.67	470	61.4
LV28	temperate	426	19.7	61.89	0.46	0.69	736.33	1325.67	134.33	200.72	8.38	26.33	0.42	0.26	302.33	474	60
CIMBL139	tropical/subtropical	217.07	12.92	40.59	0.58	0.56	470.67	708.67	114.99	112.72	6.05	19	0.55	0.26	224.33	332	59.38
CML361	tropical/subtropical	464.12	24.24	76.15	0.52	0.99	709.33	1315.67	151.33	185.61	8.58	26.96	0.44	0.31	233	390	58.67
CML172	tropical/subtropical	304.81	15.06	47.33	0.49	0.59	780	1276	179.5	111.93	5.24	16.45	0.47	0.19	313.33	385.67	58.58
CHANG3	temperate	271.92	13.55	42.57	0.5	0.53	715.5	994	273.09	111.02	5.45	17.11	0.49	0.21	277.5	361.5	58.23
MO17	temperate	154.96	9.07	28.51	0.59	0.42	360	509	152.66	108.79	6.1	19.17	0.56	0.27	253	406	57.45
CIMBL53	tropical/subtropical	537.29	19.58	61.53	0.36	0.56	1657	1941	179.86	109.4	4.51	14.16	0.41	0.15	367	365	56.95
CML171	tropical/subtropical	223.77	10.23	32.13	0.46	0.37	508	786	141.52	108.88	4.77	14.98	0.44	0.16	255.5	381	56.82
LK11	temperate	302.11	15.38	48.32	0.5	0.74	492	767.67	90.33	172.33	7.79	24.47	0.45	0.28	248	386.33	56.67
GEMS19	temperate	271.75	11.29	35.47	0.42	0.37	859.5	1150	130.86	108.45	4.19	13.16	0.39	0.13	299.5	371	56.32
B111	temperate	390.14	21.2	66.59	0.54	0.69	516.67	1306.67	117.33	176.65	10.83	34.01	0.51	0.43	262.33	718	56
U8112	temperate	371.75	17.38	54.59	0.47	0.64	430	1063.5	37	142.33	5.99	18.82	0.43	0.2	168.5	325	54
CML130	tropical/subtropical	344.67	19.93	62.6	0.58	0.9	589	1278.33	83	238.03	9.15	28.74	0.6	0.39	362.5	854.5	53.33
CIMBL82	tropical/subtropical	183.15	12.15	38.18	0.66	0.63	293	655.5	104.52	100.14	5.94	18.65	0.6	0.28	177	344	53.04
GEMS5	temperate	516.63	24.33	76.45	0.48	0.9	775.5	1610.5	225.5	112.8	5.06	15.91	0.47	0.18	107.5	269.5	53
CIMBL43	tropical/subtropical	173.72	7.82	24.57	0.45	0.28	475	454	244.13	100.18	3.79	11.9	0.38	0.11	232	258	51.98
CIMBL68	tropical/subtropical	288.17	17.15	53.89	0.6	0.8	589	996	193.23	95.99	5.93	18.62	0.62	0.29	208	374	50.96
CIMBL124	tropical/subtropical	374.71	20.32	63.83	0.54	0.87	430.67	745.5	111.67	160.14	7.55	23.73	0.47	0.28	152.33	241	50.33
GEMS49	temperate	575.16	34.51	108.41	0.65	1.82	837	1767	204.67	259.9	13.37	42.01	0.57	0.56	346	804.33	50
CIMBL125	tropical/subtropical	444.21	23.01	72.3	0.52	0.94	334	961.5	153.5	147.75	6.98	21.93	0.49	0.26	123.5	220	50
CIMBL95	tropical/subtropical	438.25	26.61	83.6	0.61	1.27	655.67	1029.67	107.67	164.55	8.81	27.67	0.54	0.4	260.33	385.33	50
CIMBL84	tropical/subtropical	389.83	29.38	92.3	0.75	2.04	360.67	520.5	54	197.84	13.19	41.42	0.67	0.81	132	296.5	50
K14	temperate	198.28	10.76	33.79	0.54	0.46	485	667	212.15	94.2	5.37	16.86	0.57	0.24	222	336.5	49.78
ZZ01	temperate	338.02	18.78	58.99	0.55	0.82	452.33	629.5	74.67	180.24	9.57	30.05	0.51	0.4	227.33	447.33	49.33
JIAO51	temperate	222.79	12.16	38.21	0.55	0.52	443.67	796.33	311.51	92.41	5.08	15.96	0.53	0.22	168.67	261.33	48.75
GEMS28	temperate	157.23	7.3	22.93	0.51	0.27	380.5	509.5	82.27	93.18	4.14	13	0.48	0.15	195	266.5	48.66
LIAO138	temperate	209.72	10.57	33.22	0.5	0.42	460.33	684.67	159.27	91.6	4.84	12.99	0.46	0.15	203.33	324	48.22
CIMBL25	tropical/subtropical	307.33	15.33	48.17	0.5	0.6	682	961	159.94	90.9	4.87	13.37	0.5	0.16	216.33	246.67	47.89
GEMS37	temperate	142.76	7.78	24.45	0.55	0.33	301.5	426.5	75.27	90.39	4.97	15.6	0.56	0.22	189.5	292.5	47.68
BY855	temperate	428.15	27.56	86.57	0.62	1.4	286.33	767.67	92	189.9	12.95	40.68	0.61	0.57	121	314	47.67
GEMS30	temperate	312.73	15.41	48.43	0.49	0.6	571.33	761	83	152.61	6.33	19.9	0.42	0.21	257.33	293.67	47.33
CIMBL51	tropical/subtropical	299.35	15.89	49.92	0.56	0.7	294.33	510.67	51	160.5	8.64	27.14	0.49	0.34	174	330.33	47.33
BS16	temperate	279.94	14.58	45.81	0.52	0.6	511	730.5	55.5	169.15	8.8	27.65	0.52	0.36	259	417.5	47
835A	temperate	180.26	8.54	26.82	0.47	0.32	387.67	484	94.4	89.27	4.01	12.61	0.45	0.14	197.67	246.67	46.64
TY1	temperate	240.54	13.17	41.38	0.55	0.57	399.33	544.5	55.33	156.56	7.88	24.76	0.5	0.31	245.33	399.33	46.5
GEMS40	temperate	146.11	8.08	25.38	0.55	0.35	250	329	77.09	88.44	4.11	12.91	0.47	0.15	184	238.5	46.27
SY1039	temperate	409.47	20.6	64.72	0.5	0.81	565	992.67	92.33	185	8.34	26.19	0.45	0.3	184	328.33	45
CIMBL3	tropical/subtropical	369.7	19.72	61.96	0.54	0.83	409.67	765.33	66.5	129.58	5.37	16.88	0.42	0.18	134	168.5	45
526018	temperate	399.8	19.08	59.94	0.48	0.72	698	1200.67	108.33	147.3	6.61	20.78	0.46	0.23	250.67	383.33	44.67
CIMBL48	tropical/subtropical	356.77	25.51	80.14	0.63	1.26	541.33	879.67	95	222.82	9.61	30.2	0.54	0.49	272	492.67	44.5
BY807	temperate	314.55	18.56	58.32	0.59	0.86	380.5	957.33	72.33	180.92	7.7	24.18	0.56	0.32	235.67	468.67	43.33
GEMS61	temperate	264.14	16.03	50.36	0.58	0.77	327	657.67	64.67	123.37	5.7	17.91	0.51	0.21	148.67	325.33	43.33
DAN4245	temperate	215.57	11.29	35.45	0.54	0.47	311	652	68.67	110.69	5.4	16.95	0.5	0.13	124.67	192	42.67
SC55	tropical/subtropical	354.97	19.48	61.21	0.56	0.88	225.67	584	93	184.47	10.19	32	0.55	0.36	101	299	42.5
CML415	tropical/subtropical	354.16	19.11	60.05	0.54	0.81	510.5	1192.5	100.5	120.16	5.98	18.78	0.5	0.23	152.5	345.5	42
CIMBL54	tropical/subtropical	337.08	18.34	57.61	0.55	0.79	458.5	759.5	72	144.77	7.77	24.41	0.54	0.33	179.5	305.5	42
GEMS3	temperate	203.36	8.48	26.64	0.42	0.28	286	402.5	58.5	105.52	4	12.56	0.38	0.12	115	189.5	41.5
CIMBL56	tropical/subtropical	590.24	33.88	106.44	0.57	1.53	951	1975.5	157.5	138.51	7.1	22.29	0.51	0.29	205.5	336.5	41
LIAO5114	temperate	420.56	21.84	68.6	0.53	0.9	769.33	1223.67	128.33	126.4	5.67	17.82	0.54	0.26	217.67	350.33	41
MO113	temperate	302.07	14.74	46.29	0.49	0.57	746	1246	127.57	77.52	4.12	12.94	0.53	0.17	206	322	40.82
CHUAN48-2	temperate	317.3	18.19	57.13	0.58	0.82	550.5	1327	104	120.55	5.76	18.11	0.48	0.22	201.5	362.5	40.5
CML139	tropical/subtropical	309.9	16.75	52.61	0.53	0.71	216.5	509.33	78.67	165.64	8.52	26.78	0.52	0.34	131.33	249.67	40.33
JY01	temperate	319.27	21.62	67.93	0.65	1.15	665.33	1077	64.67	146.26	8.51	26.74	0.58	0.44	335.67	536.67	40.33
SY1052	temperate	500.15	25.24	79.3	0.48	1	439	1639.33	210.67	102.21	3.58	14.36	0.45	0.16	129	252	40
DONG237	temperate	296.27	15.44	48.51	0.6	0.72	399.33	872	56.67	162.51	9.54	29.97	0.59	0.44	193.33	462.33	40
GEMS17	temperate	233.14	13.94	43.8	0.59	0.66	324.5	389	45.5	152.71	7.73	24.3	0.51	0.31	215	251.5	40
SY3073	temperate	347.28	20.4	64.09	0.59	0.71	544.33	1314.33	102.33	126.81	6.74	21.16	0.52	0.28	168.33	293.67	39.67
LX9801	temperate	404.47	26.4	82.93	0.65	1.19	657.33	1171	77.67	153.17	9.05	28.43	0.59	0.42	236.33	427.33	39.33
